,mean_accuracy,std_accuracy,mean_ratio,std_ratio,mean_total_random_params,std_total_random_params
completely_random,13.7854,10.060286501131491,6.897758176548584,6.89935033487345,116736.0,59120.66756501768
he,19.152299999999993,16.673789741793414,6.897758176548584,6.89935033487345,116736.0,59120.66756501768
he_normalize,18.506899999999995,14.58536402796594,6.9273458971628825,6.898243044137983,116736.0,59120.66756501768
orthogonal,18.278599999999994,16.616240261998033,6.897758176548584,6.89935033487345,116736.0,59120.66756501768
residual,19.416999999999994,17.30164454727943,1.9283494630843876,2.083508873079914,450560.0,236482.6702600707
